status	validation_status	validation_notes	json_file	pdf_path	reference_index	reference_type	reference_text	suggest_author	suggest_title	suggest_journal	suggest_container_title	suggest_volume	suggest_issue	suggest_pages	suggest_date	suggest_publisher	final_author	final_title	final_journal	final_container_title	final_volume	final_issue	final_pages	final_date	final_publisher	reviewer_notes
approved	valid	missing_author,missing_container_or_publisher	/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	1	other	"(2022). ""Office of the Director of National Intelligence, 'US-Backed International Norms Increasingly Contested'."" Report October."		Office of the Director of National Intelligence, 'US-Backed International Norms Increasingly Contested'						2022		Anonymous	Office of the Director of National Intelligence, 'US-Backed International Norms Increasingly Contested						(2022).	"US-Backed International Norms Increasingly Contested."" Report October."	
approved	valid	missing_author	/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	2	other	"(2024). ""Data From Chinese Security Services Company i-Soon Linked to Previous Chinese APT Campaigns'."" Unit 42."		Data From Chinese Security Services Company i-Soon Linked to Previous Chinese APT Campaigns'		Unit	42			2024		Anonymous	Data From Chinese Security Services Company i-Soon Linked to Previous Chinese APT Campaigns		Unit				(2024).		
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	3	book	Adamsky, D. (2023). The Russian Way of Deterrence: Strategic Culture, Coercion, and War'. The Russian Way of Deterrence, Stanford University Press.	Adamsky, D.	The Russian Way of Deterrence: Strategic Culture, Coercion, and War'						2023	The Russian Way of Deterrence, Stanford University Press										
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	4	other	"Adner, R. (2017). ""Ecosystem as Structure: An Actionable Construct for Strategy'."" Journal of Management 43(1): 39-58."	Adner, R.	Ecosystem as Structure: An Actionable Construct for Strategy'		Journal of Management	43	1	39–58	2017											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	5	book	Baldwin, D. A. (2020). Economic Statecraft: New Edition, Princeton University Press.	Baldwin, D.A.	Economic Statecraft: New Edition						2020	Princeton University Press										
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	6	other	Bernsen, W. (2024). Same Same, but Different, Margin Research.	Bernsen, W.	Same Same, but Different						2024	Margin Research										
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	7	other	Betts, R., M. Doyle and G. J. Ikenberry (1992). An Intellectual Remembrance of Klaus Knorr. Power, Economics, And Security, Routledge.	Betts, R.; Doyle, M.; Ikenberry, G.J.	An Intellectual Remembrance of Klaus Knorr						1992	Power, Economics, And Security, Routledge										
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	8	other	"Blagden, D. (2020). ""Deterring Cyber Coercion: The Exaggerated Problem of Attribution'."" Survival 62(1): 131-148."	Blagden, D.	Deterring Cyber Coercion: The Exaggerated Problem of Attribution'		Survival	62	1	131–148	2020											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	9	other	"Blanchard, J. F., E. D. Mansfield and N. M. Ripsman (1999). ""The political economy of national security: Economic statecraft, interdependence, and international conflict'."" Security Studies 9(1-2): 1-14."	Blanchard, J.F.; Mansfield, E.D.; Ripsman, N.M.	The political economy of national security: Economic statecraft, interdependence, and international conflict'		Security Studies	9	1-2	1–14	1999											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	10	chapter/conf	"Borghard, E. D. and S. W. Lonergan (2017). ""The Logic of Coercion in Cyberspace'."" Security Studies 26(3): 452-481."	Borghard, E.D.; Lonergan, S.W.	The Logic of Coercion in Cyberspace'		Security Studies	26	3	452–481	2017											
