json_file	pdf_path	reference_index	reference_text
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	1	"(2022). ""Office of the Director of National Intelligence, 'US-Backed International Norms Increasingly Contested'."" Report October."
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	2	"(2024). ""Data From Chinese Security Services Company i-Soon Linked to Previous Chinese APT Campaigns'."" Unit 42."
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	3	Adamsky, D. (2023). The Russian Way of Deterrence: Strategic Culture, Coercion, and War'. The Russian Way of Deterrence, Stanford University Press.
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	4	"Adner, R. (2017). ""Ecosystem as Structure: An Actionable Construct for Strategy'."" Journal of Management 43(1): 39-58."
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	5	Baldwin, D. A. (2020). Economic Statecraft: New Edition, Princeton University Press.
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	6	Bernsen, W. (2024). Same Same, but Different, Margin Research.
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	7	Betts, R., M. Doyle and G. J. Ikenberry (1992). An Intellectual Remembrance of Klaus Knorr. Power, Economics, And Security, Routledge.
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	8	"Blagden, D. (2020). ""Deterring Cyber Coercion: The Exaggerated Problem of Attribution'."" Survival 62(1): 131-148."
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	9	"Blanchard, J. F., E. D. Mansfield and N. M. Ripsman (1999). ""The political economy of national security: Economic statecraft, interdependence, and international conflict'."" Security Studies 9(1-2): 1-14."
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	10	"Borghard, E. D. and S. W. Lonergan (2017). ""The Logic of Coercion in Cyberspace'."" Security Studies 26(3): 452-481."
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	11	Brazil, M. (2024). Foreign Intelligence Hackers and Their Place in the PRC Intelligence Community.
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	12	Broeders, D., L. Adamson and R. Creemers (2019). Coalition of the Unwilling? Chinese and Russian Perspectives on Cyberspace.
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	13	Buchan, R. and I. Navarrete (2021). Cyber espionage and international law'. Research Handbook on International Law and Cyberspace, Edward Elgar Publishing: 231-252.
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	14	Buchanan, B. (2020). Strategic Espionage. The Hacker and the State, Harvard University Press: 86-107.
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	15	"Cardon, E. (2022). ""Fighting Alone is called Losing: The Unlearned Lessons of Fragmented Systems'."" The Cyber Defense Review 7(1): 75-82."
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	16	"Carr, M. (2016). ""Public-private partnerships in national cyber-security strategies'."" International Affairs (Royal Institute of International Affairs 92(1): 43-62."
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	17	"Cha, V. D. (2023). ""Collective Resilience: Deterring China's Weaponization of Economic Interdependence."" International Security 48(1): 91-124."
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	18	"Chen, L. S. and M. M. Evers (2023). ""Wars without Gun Smoke': Global Supply Chains, Power Transitions, and Economic Statecraft"". International Security 48(2): 164-204."
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	19	Clark, D. D. (2010). Characterizing cyberspace: Past, present and future. Working Paper, Massachusetts Institute of Technology.
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	20	"Cohen, J. E. (2007). ""Cyberspace as/and Space'."" *Columbia Law Review* 107: 210."
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	21	"Cunningham, F. S. (2022). ""Strategic Substitution: China's Search for Coercive Leverage in the Information Age'."" International Security 47(1): 46-92."
