file,source_type,pages_count,text_chars,references_count,baseline_style,baseline_dominant_bucket,current_style,current_dominant_bucket,base_dom_intext_total,base_dom_success_occurrences,base_dom_bib_unique_total,base_dom_success_percentage,cur_dom_intext_total,cur_dom_success_occurrences,cur_dom_bib_unique_total,cur_dom_success_percentage,delta_dom_intext_total,delta_dom_success_occurrences,delta_dom_bib_unique_total,delta_dom_success_percentage,base_foot_intext_total,base_foot_success_occurrences,base_foot_bib_unique_total,cur_foot_intext_total,cur_foot_success_occurrences,cur_foot_bib_unique_total,delta_foot_success_occurrences,delta_foot_success_percentage,base_tex_intext_total,base_tex_success_occurrences,base_tex_bib_unique_total,cur_tex_intext_total,cur_tex_success_occurrences,cur_tex_bib_unique_total,delta_tex_success_occurrences,delta_tex_success_percentage,base_numeric_intext_total,base_numeric_success_occurrences,base_numeric_bib_unique_total,cur_numeric_intext_total,cur_numeric_success_occurrences,cur_numeric_bib_unique_total,delta_numeric_success_occurrences,delta_numeric_success_percentage,base_author_year_intext_total,base_author_year_success_occurrences,base_author_year_bib_unique_total,cur_author_year_intext_total,cur_author_year_success_occurrences,cur_author_year_bib_unique_total,delta_author_year_success_occurrences,delta_author_year_success_percentage,error
python_backend_legacy/dataset/003405b70c26a0b2ef1ada1c4e2d07c3b83fe450b217876169de5aa9c5e2b234.json,raw_json,13,29907,1,author_year,author_year,author_year,author_year,0,0,198,0,0,0,198,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,64,0,0,64,0,0,0,0,64,0,0,64,0,0,0,0,198,0,0,198,0,0,
python_backend_legacy/dataset/01f1633087008065730cb6235ce84446d42df32db584e7e45f4265a73f2635e7.json,raw_json,39,107368,0,superscript,tex,superscript,tex,362,362,196,100,362,362,196,100,0,0,0,0,0,0,0,267,0,0,0,0,362,362,196,362,362,196,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
python_backend_legacy/dataset/02dd7fdc3d38cbdc38c6bd81882ff62ea9b8774880c7f7e40d9c27cf9e0d9be0.json,raw_json,29,75717,0,superscript,tex,superscript,tex,6,6,17,100,6,6,17,100,0,0,0,0,0,0,90,4,0,90,0,0,6,6,17,6,6,17,0,0,1,1,90,1,1,90,0,0,0,0,117,0,0,117,0,0,
python_backend_legacy/dataset/03092dca8cc24e2624208d831c777ab72f62e9ab0f476395582e71edefe9539d.json,raw_json,14,53139,0,superscript,tex,superscript,tex,126,126,91,100,126,126,91,100,0,0,0,0,0,0,0,85,0,0,0,0,126,126,91,126,126,91,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,
python_backend_legacy/dataset/03640a730b45ecf77e2829db267886d4ef373cf952fe952220d2bdb181b2a809.json,raw_json,43,97678,1,hybrid,tex,hybrid,tex,75,75,374,100,75,75,374,100,0,0,0,0,0,0,0,0,0,0,0,0,75,75,374,75,75,374,0,0,187,187,187,187,187,187,0,0,0,0,351,0,0,351,0,0,
python_backend_legacy/dataset/037497fb1509e0fbd0753da6e5181775894b1117970ec1dae72df4b990dc3fd9.json,raw_json,12,38782,0,tex_superscript,tex,tex_superscript,tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json,raw_json,53,89410,1,superscript,tex,superscript,tex,148,148,101,100,148,148,101,100,0,0,0,0,6,0,0,154,0,0,0,0,148,148,101,148,148,101,0,0,0,0,0,0,0,0,0,0,1,0,92,1,0,92,0,0,
python_backend_legacy/dataset/0411f53fe6c4329dcaecf3e3eaa519c57d758f3e83d0ff1698b8449c23228452.json,raw_json,43,119471,0,tex_superscript,tex,tex_superscript,tex,0,0,371,0,0,0,371,0,0,0,0,0,0,0,371,15,15,371,15,100,0,0,371,0,0,371,0,0,0,0,371,0,0,371,0,0,0,0,121,0,0,121,0,0,
python_backend_legacy/dataset/04a8f917d910dabe8e35360e6d8a4af05c04154a8a3b883aa5b6c6b0197eb6bc.json,raw_json,17,98391,1,hybrid,tex,hybrid,tex,1,1,332,100,1,1,332,100,0,0,0,0,0,0,0,4,0,0,0,0,1,1,332,1,1,332,0,0,139,139,166,139,139,166,0,0,0,0,193,0,0,193,0,0,
python_backend_legacy/dataset/0667c49a4b4ecd3c48f709a537a16e5d68ce198e8c7ce904a810718d43502163.json,raw_json,18,57566,0,superscript,tex,superscript,tex,26,26,22,100,26,26,22,100,0,0,0,0,0,0,87,19,0,87,0,0,26,26,22,26,26,22,0,0,0,0,87,0,0,87,0,0,0,0,77,0,0,77,0,0,
python_backend_legacy/dataset/0692771215d256553aa10f01cd4ba7114ec06a7b451ed012b632f76962e0b8df.json,raw_json,40,108009,0,superscript,tex,superscript,tex,248,248,155,100,248,248,155,100,0,0,0,0,0,0,0,171,0,0,0,0,248,248,155,248,248,155,0,0,28,0,0,28,0,0,0,0,1,0,64,1,0,64,0,0,
python_backend_legacy/dataset/0756f25bb8a73dd00eaefd9e54acaaa5a6ad1e0712821c526594126883e792c5.json,raw_json,31,75400,0,superscript,tex,superscript,tex,273,273,193,100,273,273,193,100,0,0,0,0,6,0,0,192,0,0,0,0,273,273,193,273,273,193,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,115,0,0,
python_backend_legacy/dataset/085715a855ca6a44e50aeeb1d95eeffbd4a9e111cb6f85bbeccf3fcbbb20f8e8.json,raw_json,19,54540,0,author_year,author_year,author_year,author_year,0,0,46,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,46,0,0,46,0,0,
python_backend_legacy/dataset/089fd9c82dd9bc09acb7be4405ba40d212800553c676f6560e35a6ab0452cc76.json,raw_json,25,66469,0,hybrid,tex,hybrid,tex,5,5,12,100,5,5,12,100,0,0,0,0,0,0,12,2,0,12,0,0,5,5,12,5,5,12,0,0,3,3,12,3,3,12,0,0,0,0,76,0,0,76,0,0,
python_backend_legacy/dataset/094938ad98870e8d63771a4583e9997735fcf6e61675183c588e56444df2fc69.json,raw_json,15,89393,1,hybrid,tex,hybrid,tex,1,1,166,100,1,1,166,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,166,1,1,166,0,0,95,95,83,95,95,83,0,0,0,0,88,0,0,88,0,0,
