file,source_type,pages_count,text_chars,references_count,style,dominant_bucket,foot_intext_total,foot_success_occurrences,foot_bib_unique_total,foot_missing_intext_expected_total,foot_missing_footnotes_for_seen_total,foot_uncited_footnote_total,tex_intext_total,tex_success_occurrences,tex_bib_unique_total,numeric_intext_total,numeric_success_occurrences,numeric_bib_unique_total,author_year_intext_total,author_year_success_occurrences,author_year_bib_unique_total
python_backend_legacy/dataset/0021cbf6a99df1e3e04046110849b6466dfdf54db24ca4a2a58ddf8769ab4a8f.md,md_cache,25,67627,0,hybrid,tex,4,0,0,65,4,0,0,0,0,10,0,0,0,0,0
python_backend_legacy/dataset/00fc386954c3e7323534d09373bb4505018d2a7d32c64aab72b1dc193f8e6f40.md,md_cache,52,173994,0,hybrid,tex,0,0,0,0,0,0,77,0,0,8,0,0,1,0,0
python_backend_legacy/dataset/012fab1b5a6afd010a7f3218507dcc5c400f78afe85d087dcd654df2d3035cce.md,md_cache,24,81047,1,numeric,numeric,0,0,0,0,0,0,0,0,0,16,12,78,0,0,213
python_backend_legacy/dataset/01419252373776fccc94124c8eff73cd18ffc06b8e79d776140394e20e8c985b.md,md_cache,24,39508,1,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,15,15,51
python_backend_legacy/dataset/01dae32261c3ece51730486bea0e27f8f6b934b83a99047e3fc89ce3457d344e.md,md_cache,29,92403,0,tex_superscript,tex,8,0,0,83,8,0,0,0,0,2,0,0,2,0,0
python_backend_legacy/dataset/01e3cf23aa94cac58b13737b4f55a27076bdbd83383e6a4bdea4a4a8914f8b5d.md,md_cache,22,73697,0,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python_backend_legacy/dataset/0282329b5a49a1edeab8b016bfef0f56a7b044e4352d5ce00c93da0c15d25607.md,md_cache,20,86367,0,hybrid,tex,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0
python_backend_legacy/dataset/02ae78381ee48b045519836b52c98561f1f500a4cc4a64e76fad58b7ae0e293b.md,md_cache,28,101033,0,numeric,numeric,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
python_backend_legacy/dataset/02cd4b787c30cda2a00fa78e762618ee77eb1acd315dcce1396478fd1eaa9f7a.md,md_cache,18,37499,0,tex_superscript,tex,8,0,0,22,4,0,0,0,0,0,0,0,1,0,0
python_backend_legacy/dataset/02eb7c77724fb5fad4999a720c0007e4468634d493df7283df8c254355085ad4.md,md_cache,0,153840,0,tex_superscript,tex,6,0,0,67,6,0,0,0,0,2,0,0,2,0,0
python_backend_legacy/dataset/03e0711b8ea4990c141c4d99d2065f59bdf6e84d6ac4dce1a2f666ffa1c71d0a.md,md_cache,56,151428,0,numeric,numeric,0,0,0,0,0,0,0,0,0,14,0,0,5,0,0
python_backend_legacy/dataset/05c10cd99c958e955cfe9bfdfadba2c400e943fbc980ac305cd162decd55450d.md,md_cache,36,137835,0,tex_superscript,tex,9,0,0,144,9,0,0,0,0,23,0,0,10,0,0
python_backend_legacy/dataset/064a95f0da7354358f0b05bd3dae1eb5ce730c5e96d9deaf18d1e973ee5ef223.md,md_cache,24,65725,1,numeric,numeric,7,0,0,20,7,0,0,0,0,11,11,132,1,0,269
python_backend_legacy/dataset/0698e5e4b83922cad6206ef84e696c1bf369f1dae59e9f8c43ace520eca899ba.md,md_cache,21,58318,0,hybrid,tex,0,0,0,0,0,0,26,0,0,1,0,0,1,0,0
python_backend_legacy/dataset/06ad4ee8382695878b4a7ed025d41aeb0f9409e48c56542f45fd9e3a49175e12.md,md_cache,38,131124,0,numeric,numeric,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
python_backend_legacy/dataset/06cbf3f0cb5e959ba9f8753f9ff475c48916202034dd7c2a2e5640453c0c9f9d.md,md_cache,21,65242,0,hybrid,tex,0,0,0,0,0,0,25,0,0,4,0,0,2,0,0
python_backend_legacy/dataset/07b6413dc438c288a6f32571a5a2122612a25f24d873e728b3d61f3a0f074f73.md,md_cache,13,30791,1,numeric,numeric,0,0,0,0,0,0,0,0,0,11,0,1,0,0,56
python_backend_legacy/dataset/0824d0e2c30dff0b9d40059d786ae61fa053fd22a22c3d7f01097099306b7fe1.md,md_cache,40,101372,1,numeric,numeric,0,0,0,0,0,0,0,0,0,19,0,0,128,128,242
python_backend_legacy/dataset/084b56d066f653d701619d4d914cba6b6cf257f11724633deaac1ba7be99b648.md,md_cache,18,46028,1,hybrid,tex,3,0,0,48,3,0,31,1,2,1,1,51,0,0,119
python_backend_legacy/dataset/0882f89260fefc6533d22b5ccf504a6f8487487e6ea92c14e50ad14a6b91a217.md,md_cache,24,59739,0,numeric,numeric,4,0,0,56,4,0,0,0,0,19,0,0,9,0,0
python_backend_legacy/dataset/089706869d5c4e992e79e6f19e13f44c468656fb4a0e6ee1698d70f1bc0b79f6.md,md_cache,29,82882,0,numeric,numeric,2,0,0,83,2,0,0,0,0,31,0,0,0,0,0
python_backend_legacy/dataset/091b8f944ee0a3846daa48b95570105d67a7e7ff1c8e20d4681fb1325c1c9a88.md,md_cache,26,72029,0,hybrid,tex,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0
python_backend_legacy/dataset/0922dc18ec719f0ff94f5935fed4173554d40d87ce41bdafebac8c93e474162d.md,md_cache,35,93860,0,numeric,numeric,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0
python_backend_legacy/dataset/0af4fcb916ce0baaa1dfbbae7a66f314a8f9691f544befecbac98d1bf77bab6c.md,md_cache,0,75462,0,tex_superscript,tex,7,0,0,75,7,0,0,0,0,34,0,0,1,0,0
python_backend_legacy/dataset/0c0c8fc9ed2628823e63f30e588820ed8b09821c495a0bf202499fff0bc73a5b.md,md_cache,21,71501,1,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,71,60,111
python_backend_legacy/dataset/0c2a5e2d705b1ef4e8fe11e57ca98f4476bb1915f3f79464fa9c6b40ab88256a.md,md_cache,24,55174,1,tex_superscript,tex,16,0,0,24,16,0,0,0,0,0,0,43,2,0,136
python_backend_legacy/dataset/0c64b9e6db334afa70759bd38314d2103a14bdb4f69e82018776536568db153c.md,md_cache,37,87399,0,tex_superscript,tex,50,0,0,117,50,0,0,0,0,13,0,0,0,0,0
python_backend_legacy/dataset/0c88cc1b95d350de9a5701e4d60a9910d1fa5b3aab43ab19897f55f03a3954a1.md,md_cache,38,132108,0,numeric,numeric,0,0,0,0,0,0,0,0,0,28,0,0,1,0,0
