affiliate,country,query,title,url,snippet
current,China,+indictment +cyber +indicted +intrusion +computer +charge +unsealed +(China OR Chinese OR PRC),"District of Columbia | Chinese Nationals with Ties to the PRC Government and “APT27” Charged in a Computer Hacking Campaign for Profit, Targeting Numerous U.S. Companies, Institutions, and Municipalities | United States Department of Justice",https://www.justice.gov/usao-dc/pr/chinese-nationals-ties-prc-government-and-apt27-charged-computer-hacking-campaign-profit,"C., today, unsealed two separate indictments that allege Chinese nationals Yin...participating in years-long, sophisticated computer hacking ..."
current,China,+indictment +cyber +indicted +intrusion +computer +charge +unsealed +(China OR Chinese OR PRC),Office of Public Affairs | Justice Department Charges 12 Chinese Contract Hackers and Law Enforcement Officers in Global Computer Intrusion Campaigns | United States Department of Justice,https://www.justice.gov/opa/pr/justice-department-charges-12-chinese-contract-hackers-and-law-enforcement-officers-global,"...and deter the malicious cyber activities of 12 Chinese nationals, including two...of the People’s Republic of China’s ( PRC ) Ministry of Public ..."
current,China,+indictment +cyber +indicted +intrusion +computer +charge +unsealed +(China OR Chinese OR PRC),Eastern District of New York | Seven Hackers Associated with Chinese Government Charged with Computer Intrusions Targeting Perceived Critics of China and U.S. Businesses and Politicians | United States Department of Justice,https://www.justice.gov/usao-edny/pr/seven-hackers-associated-chinese-government-charged-computer-intrusions-targeting,Associated with Chinese Government Charged with Computer Intrusions Targeting Perceived...Perceived Critics of China and U.S. Businesses and ...
current,China,+indictment +cyber +indicted +intrusion +computer +charge +unsealed +(China OR Chinese OR PRC),Northern District of Indiana | China -Based Hacker Charged for Conspiring to Develop and Deploy Malware That Exploited Tens of Thousands of Firewalls Worldwide | United States Department of Justice,https://www.justice.gov/usao-ndin/pr/china-based-hacker-charged-conspiring-develop-and-deploy-malware-exploited-tens,"Press Release China -Based Hacker Charged for Conspiring to Develop and Deploy...in Hammond, Indiana, unsealed an indictment today charging Guan ..."
current,China,+indictment +cyber +indicted +intrusion +computer +charge +unsealed +(China OR Chinese OR PRC),"Southern District of California | Four Chinese Nationals Working with the Ministry of State Security Charged with Global Computer Intrusion Campaign Targeting Intellectual Property and Confidential Business Information, Including Infectious Disease Research | United States Department of Justice",https://www.justice.gov/usao-sdca/pr/four-chinese-nationals-working-ministry-state-security-charged-global-computer,Four Chinese Nationals Working with the Ministry of State Security Charged with...with Global Computer Intrusion Campaign Targeting Intellectual ...
current,Russia,+indictment +cyber +indicted +intrusion +computer +charge +unsealed +(Russia OR Russian),District of Maryland | Five Russian GRU Officers And One Civilian Charged For Conspiring To Hack Ukrainian Government | United States Department of Justice,https://www.justice.gov/usao-md/pr/five-russian-gru-officers-and-one-civilian-charged-conspiring-hack-ukrainian-government,"...– In an indictment unsealed today, a grand jury in Maryland charged six computer...of the Russian Federation ( Russia ), with conspiracy to commit compu ..."
current,Russia,+indictment +cyber +indicted +intrusion +computer +charge +unsealed +(Russia OR Russian),District of Maryland | Russian National Charged For Conspiring With Russian Military Intelligence To Destroy Ukrainian Government Computer Systems And Data | United States Department of Justice,https://www.justice.gov/usao-md/pr/russian-national-charged-conspiring-russian-military-intelligence-destroy-ukrainian,"Maryland yesterday returned an indictment charging Amin Timovich Stigal [Амин Тимович...22, a Russian citizen, with conspiracy to hack into and ..."
current,Russia,+indictment +cyber +indicted +intrusion +computer +charge +unsealed +(Russia OR Russian),Northern District of California | Two Russian Nationals Working With Russia’s Federal Security Service Charged With Global Computer Intrusion Campaign | United States Department of Justice,https://www.justice.gov/usao-ndca/pr/two-russian-nationals-working-russias-federal-security-service-charged-global-computer,"Francisco returned an indictment on Tuesday charging two individuals with a...a campaign to hack into computer networks in the United States, the ..."
current,Russia,+indictment +cyber +indicted +intrusion +computer +charge +unsealed +(Russia OR Russian),Southern District of New York | Two Russian Nationals Charged For Conspiring To Hack The Taxi Dispatch System At JFK Airport | United States Department of Justice,https://www.justice.gov/usao-sdny/pr/two-russian-nationals-charged-conspiring-hack-taxi-dispatch-system-jfk-airport,"Authority”), announced the unsealing of an Indictment charging ALEKSANDR DEREBENETC...a/k/a “Kirill Russia ,” with two counts of conspiracy to commit c ..."
current,Russia,+indictment +cyber +indicted +intrusion +computer +charge +unsealed +(Russia OR Russian),Northern District of Ohio | Multiple Foreign Nationals Charged in Connection with Trickbot Malware and Conti Ransomware Conspiracies | United States Department of Justice,https://www.justice.gov/usao-ndoh/pr/multiple-foreign-nationals-charged-connection-trickbot-malware-and-conti-ransomware,Three indictments in three different federal jurisdictions have been unsealed...unsealed charging multiple Russian cybercrime actors involved in the ...
