evidence_row_id,item_key,title,year,collection,evidence_type,relevance_score,potential_themes,relevant_rqs,direct_quote,paraphrase,researcher_comment,prompt_key,rq_sig
EV-0001,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,definition,5,taxonomy,2,"For the purposes of this Article, cyber-attacks are defined as those whereby states utilize computers and information technology as the primary mechanisms to detrimentally impact the interests of another state.","The authors define cyber-attack as state use of computers/IT as primary mechanisms to harm another state's interests, establishing the definitional scope for attribution frameworks (RQ2).","This explicit operational definition narrows the phenomenon under study to state-directed IT-enabled harms and thus bounds what an attribution model must classify. It excludes (or deprioritizes) kinetic attacks that merely target computing infrastructure, so any framework based on this definition will not generalize to hybrid/kinetic incidents.",code_pdf_page,8839843fdc
EV-0002,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,taxonomy,5,taxonomy,2,"For this reason, for the purposes of this Article, cyber-attacks are instead classified into one or more of three general categories.",The authors operationalize cyber-attacks by classifying them into three general categories to structure analysis and attribution (RQ2).,This signals the authors adopt a typology approach to operationalize attacks within their attribution model; the typology choice will shape what evidence is relevant for each attack type. It implies discrete categorization rather than a continuous or multi-dimensional metric.,code_pdf_page,8839843fdc
EV-0003,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,definition,5,taxonomy,2,"First, direct intrusion attacks are those where the attacker directly interacts with a computer system and gains some form of unauthorized access or control.","Direct intrusion attacks are defined as attacker interactions that yield unauthorized access or control of target systems, a category used in the authors' framework (RQ2).","This provides a clear category the attribution framework must detect and attribute; forensic evidence types (access logs, credentials, remote sessions) would be especially relevant. The sentence is purely definitional and does not specify evidentiary indicators.",code_pdf_page,8839843fdc
EV-0004,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,definition,5,taxonomy,2,"Second, indirect intrusion attacks involve malicious code or""malware""that the attacker constructs in order to compromise a set of systems.","Indirect intrusion attacks are operationalized as deployment of malicious code/malware to compromise systems, forming a second category in the model (RQ2).","This distinguishes malware-driven campaigns from interactive intrusions, implying attribution methods must include malware analysis (payload signatures, code provenance). The quote does not specify what forensic traces are decisive for state attribution.",code_pdf_page,8839843fdc
EV-0005,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,definition,5,taxonomy,2,"Third, denial of service attacks involve rendering the system unable to provide its expected services.","Denial-of-service attacks are defined as actions that render systems unable to provide expected services, completing the authors' three-category typology (RQ2).","Including DoS as a distinct class highlights that attribution frameworks must accommodate high-volume/availability-targeted incidents where traditional code/host artifacts may be scarce. The definition implies different evidentiary needs (traffic analysis, botnet attribution).",code_pdf_page,8839843fdc
EV-0006,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,limitation,5,limitation|taxonomy,2,"Consequently, any attempt at a definitive taxonomy is likely to have a degree of artificiality and be, at best, only temporarily accurate.","The authors assert that any definitive taxonomy of cyber-attacks will be partly artificial and only temporarily accurate, signaling a limitation for fixed frameworks (RQ2).",This is an explicit caveat about model durability: operationalized frameworks should accommodate emergent methods or be regularly updated. It warns against overfitting attribution procedures to a static typology.,code_pdf_page,8839843fdc
EV-0007,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,claim,5,attribution_challenges,0|2,the question of how to attribute state responsibility in the event of a cyber-attack has been recognized as a significant hurdle.,"Attributing state responsibility for cyber-attacks is identified as a major practical obstacle relevant to evidentiary practice and attribution frameworks (RQ0, RQ2).",This frames attribution as the central problem motivating the paper; it directly links legal responsibility questions to evidentiary and modeling challenges. The statement is high-level and does not enumerate the specific evidentiary types that are deficient.,code_pdf_page,8839843fdc
EV-0008,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,claim,4,attribution_challenges|evidentiary_standards,0|2,Daniel B. Silver has described attribution as the most important practical obstacle to applying the law of jus ad bellum to cyber-attack.,"The authors cite an authority characterizing attribution as the foremost practical impediment to applying jus ad bellum to cyber-attacks, underscoring evidentiary and legal challenges (RQ0, RQ2).",This citation reinforces the argument that attribution problems are not merely technical but have legal consequences—models must yield legally usable attribution. The quote is an appeal to expert judgment rather than empirical evidence about which evidence types work.,code_pdf_page,8839843fdc
EV-0009,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,finding,5,attribution_challenges|evidentiary_standards,0|2,"Finally, the legal and factual ambiguity associated with cyber-warfare makes this a relatively safe mechanism for a prospective aggressor to employ.","The authors argue that legal and factual ambiguity in cyber-warfare creates a safe environment for attackers, complicating evidence collection and attribution (RQ0, RQ2).",This links ambiguity to attacker incentives and implies attribution frameworks must overcome both legal and factual uncertainty to deter attacks. It does not specify which factual evidentiary gaps are most problematic.,code_pdf_page,8839843fdc
EV-0010,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,claim,3,limitation,2,"To begin with, cyber-warfare is typically inexpensive for the attacker.","The authors state cyber-warfare is typically low-cost for attackers, a contextual factor that affects threat modeling and attribution priorities (RQ2).",Low cost and ease of deployment influence threat models and may increase false positives in attribution if attribution models assume state-level resources. This contextual claim is descriptive and not supported here by methodological evidence.,code_pdf_page,8839843fdc
EV-0011,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,claim,4,limitation,2,"States with a greater investment in, and therefore dependence on, information technology have far greater potential exposure than those which are still developing in this area.","The authors contend that states more dependent on IT face greater exposure to cyber-attacks, implying that attribution frameworks must account for state-level dependency as a variable (RQ2).","This identifies a plausible variable (IT dependence) for operational models of attribution or risk assessment. It suggests frameworks should include contextual state vulnerability measures, but the chunk provides no operational metric for 'dependence.'",code_pdf_page,8839843fdc
EV-0012,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,definition,5,legal_sources|evidentiary_standards,0|2,"The prohibition against the threat or use of force is expressly articulated in the Charter of the United Nations (Charter) Article 2, Paragraph 4, and is considered to be a peremptory norm of international law.",The UN Charter's Article 2(4) (a treaty) establishes the prohibition on the threat or use of force and serves as a primary legal source for evaluating state conduct relevant to cyber-attribution.,"This identifies treaty law as a primary evidentiary source for jus ad bellum questions relevant to cyber incidents. It implies that legal analysis of cyber operations will be anchored to Charter provisions, but does not resolve how Charter concepts map onto cyber effects. Treaties provide binding normative benchmarks but require interpretive work to apply to novel modalities.",code_pdf_page,8839843fdc
EV-0013,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,method,5,methods|scale_and_effects,1|2,"This issue has led to the practical adoption of an approach to evaluating force that focuses primarily on the consequences, rather than the means employed.","States and courts have adopted a consequences-focused method—assessing force by effects rather than by the means used—when evaluating use of force claims, which is pertinent for cyber attribution.","This consequence-based approach is directly applicable to cyber incidents where traditional kinetic means are absent. It suggests operationalization should measure impacts (scale/effects) rather than delivery vectors, but raises challenges in quantifying cyber consequences and linking them to actors.",code_pdf_page,8839843fdc
EV-0014,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,definition,5,legal_sources|evidentiary_standards,0|2,The Charter9s Article 51 provides that nothing in that document shall impair the inherent right of... [self-defense] if an armed attack occurs.,"Article 51 of the UN Charter establishes the right of self-defense in response to an ""armed attack,"" providing a legal framework states invoke when considering responses to cyber operations.","Article 51 supplies the legal trigger for lawful countermeasures; its invocation in cyber contexts depends on whether a cyber operation qualifies as an 'armed attack.' The text itself does not define 'armed attack', so operationalization requires interpretive criteria.",code_pdf_page,8839843fdc
EV-0015,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,claim,5,legal_sources|evidentiary_standards,0|2,"As there is no established definition of armed attack in the Charter or elsewhere in treaty law, its meaning is also determined by custom.","Because 'armed attack' lacks a treaty definition, its content is derived from customary international law, making state practice and judicial decisions key evidentiary inputs for cyber attribution.","This highlights reliance on custom (state practice and opinio juris) and case law to define thresholds relevant to cyber incidents. It signals that empirical evidence of effects and judicial precedent will shape operational tests, but also that uncertainty persists where practice is sparse.",code_pdf_page,8839843fdc
EV-0016,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,method,5,scale_and_effects|methods,1|2,"The ICJ then gave arguably the most concrete judicial test for armed attacks when it stated that they may be distinguished from lesser uses of force ... by their""scale and effects.""","The ICJ's 'scale and effects' test provides a judicial method for distinguishing armed attacks from lesser uses of force based on magnitude and consequences, a test usable for assessing cyber operations.","This is a directly operationalizable criterion: attribution frameworks can map cyber impacts to 'scale and effects' thresholds. However, the quote acknowledges ambiguity in applying the test (measurement thresholds not specified), complicating consistent application across incidents.",code_pdf_page,8839843fdc
EV-0017,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,method,5,necessity_proportionality|evidentiary_standards,1|2,"As the ICJ has repeatedly emphasized, in addition to being a response to an armed attack, an act of self-defense is subject to meeting the elements of necessity and proportionality.","ICJ jurisprudence requires that lawful self-defense meet the customary-law elements of necessity and proportionality, which constrain acceptable responses to cyber attacks.","Necessity and proportionality function as legal filters that any cyber-attribution-informed response must satisfy; they require evaluative judgments (e.g., immediacy, appropriate scale). These elements are qualitative and invite interpretive divergence when applied to cyber effects.",code_pdf_page,8839843fdc
EV-0018,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,method,4,historical_precedent|necessity_proportionality,1|2,"Webster formulated necessity to require that the instigative events be""instant, overwhelming, leaving no choice of means, and no moment for deliberation.""","The Caroline formulation defines 'necessity' as requiring instant, overwhelming threats leaving no alternative, offering a historical evidentiary standard for assessing immediacy in self-defense claims, including cyber contexts.",This historical test supplies a stringent threshold for anticipatory or emergency cyber responses; demonstrating 'instant' and 'overwhelming' effects in cyber incidents may be difficult. The provenance as diplomatic correspondence limits its normative weight but it remains influential in customary determinations.,code_pdf_page,8839843fdc
EV-0019,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,method,4,necessity_proportionality|evidentiary_standards,1|2,"Webster also articulated the proportionality element to require that the response involve ""nothing unreasonable or excessive.""","Proportionality, per Webster, requires that a defensive response be reasonable and not excessive, framing a constraint on the scale of responses to cyber attacks.","This qualitative standard requires evaluators to balance gravity of initial harm against proposed countermeasures; in cyber contexts, translating 'reasonable' scale into measurable metrics is a key methodological challenge. The passage provides a normative constraint but not operational metrics.",code_pdf_page,8839843fdc
EV-0020,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,finding,5,intent_requirement|attribution_challenges,2|1,"a possible additional requirement for engaging in self-defense is that the armed attack be undertaken with the ""specific intention of harming"" the target that was ultimately attacked.","Some jurisprudence (Oil Platforms) suggests an additional requirement that an armed attack be directed with specific intent to harm the victim state, adding an intent-based evidentiary element to attribution.","An intent requirement would impose a high evidentiary bar for cyber attribution because it demands inference of the attacker's state of mind. This criterion, if applied, would significantly raise the threshold for lawful defensive measures in cyberspace.",code_pdf_page,8839843fdc
EV-0021,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,limitation,5,attribution_challenges|limitation,2|0,The intention element is problematic as it requires the injured state to reliably infer what is essentially the state of mind of the attacking state.,"The text identifies that requiring proof of the attacker's specific intent is problematic because it forces the victim state to infer another state's mental state, complicating attribution.",This explicitly flags a limitation in operationalizing legal tests for cyber attribution: intent is difficult to establish from technical indicators alone. It supports the view that attribution frameworks must rely on cumulative evidence beyond technical forensics to meet legal burdens.,code_pdf_page,8839843fdc
EV-0022,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,framework,5,framework_operationalization|evidentiary_standards,0|2,"The criteria proposed by Schmitt are: severity, immediacy, directness, invasiveness, measurability, presumptive legitimacy, and responsibility.","Schmitt proposes seven specific criteria that are used to evaluate whether a cyber-attack constitutes a use of force, forming an operational framework for attribution and legal characterization.","This sentence names an explicit, multi-criteria framework that is widely cited for operationalizing cyber-force assessments. It is central to how legal actors translate technical facts into legal findings, but applicability may vary by case and evidentiary availability. Usefulness for synthesis: high for RQ2 and for cataloguing evidentiary indicators (RQ0).",code_pdf_page,8839843fdc
EV-0023,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,definition,5,evidentiary_standards,0,Severity relates to the degree to which attacks involve physical injury or the destruction of property.,"The 'severity' criterion assesses whether a cyber-attack caused physical injury or property destruction, making physical damage a primary evidentiary indicator.","This defines one concrete evidentiary metric (physical harm) used within Schmitt's framework; it clarifies what counts as high-severity evidence. Caveat: the text elsewhere notes such physical consequences are rare in cyber incidents, limiting this indicator's applicability.",code_pdf_page,8839843fdc
EV-0024,W63DA6Z6,Addressing Obstacles to Cyber-Attribution: A Model Based on State Response to Cyber-Attack,2017,frameworks,definition,4,evidentiary_standards,0,"Measurability involves the degree to which the consequences of an event can be ascertained, particularly in a quantitative way, which is largely a function of directness.",The 'measurability' criterion emphasizes using quantitatively ascertainable consequences as evidence when assessing cyber-attacks.,"This highlights a preference for quantifiable forensic or impact data in legal assessment, indicating what kinds of technical evidence are valued. Limitation: indirect or diffuse harms may score poorly on this metric, reducing legal clarity.",code_pdf_page,8839843fdc
